id_expansion,expansion_code,name,release_date,code_source,n_singles
1540,SS,EX Sandstorm,0000-00-00,tcg,103
3989,,Expansion Pack 20th Anniversary,2021-03-18,,103
5257,,Triplet Beat,2023-02-03,,103
1553,DF,EX Dragon Frontiers,0000-00-00,tcg,102
3419,CPA,Champion’s Path,2020-08-07,tcg,102
4169,,Expansion Pack,2021-03-31,,102
4786,,Pokémon GO Enhanced Expansion Pack,2022-02-04,,102
5992,,"WCD 2024: Fernando Cifuentes """"Crushing Thorn""""",2024-12-19,,102
1756,,,2026-01-28,,101
4239,,Eevee Heroes,2021-05-14,,101
6309,,CSVH3C: Happy Combo Altaria & Latios & Infernape & Maushold Box Set,2025-09-11,,101
4286,,Beat of the Frontier,2021-05-26,,100
5573,,Wild Force,2023-12-28,,100
5574,,Cyber Judge,2023-12-28,,100
2754,,,2026-01-20,,99
4180,,EX Battle Boost,2021-04-26,,99
5048,,Dark Phantasma,2022-04-26,,99
5314,,Snow Hazard,2023-03-21,,99
