set,number,url,product_id_in_url,lang
AOR,58,https://pokepricelab.com/de/catalog/ancient-origins-goomy-58,,de
AOR,58,https://pokepricelab.com/es/catalog/ancient-origins-goomy-58,,es
AOR,58,https://pokepricelab.com/fr/catalog/ancient-origins-goomy-58,,fr
AOR,58,https://pokepricelab.com/it/catalog/ancient-origins-goomy-58,,it
AOR,59,https://pokepricelab.com/catalog/ancient-origins-sliggoo-59,,
AOR,59,https://pokepricelab.com/de/catalog/ancient-origins-sliggoo-59,,de
AOR,59,https://pokepricelab.com/es/catalog/ancient-origins-sliggoo-59,,es
AOR,59,https://pokepricelab.com/fr/catalog/ancient-origins-sliggoo-59,,fr
AOR,59,https://pokepricelab.com/it/catalog/ancient-origins-sliggoo-59,,it
AOR,6,https://pokepricelab.com/catalog/ancient-origins-ariados-6-eu-284187,284187,
AOR,6,https://pokepricelab.com/de/catalog/ancient-origins-ariados-6-eu-284187,284187,de
AOR,6,https://pokepricelab.com/es/catalog/ancient-origins-ariados-6-eu-284187,284187,es
AOR,6,https://pokepricelab.com/fr/catalog/ancient-origins-ariados-6-eu-284187,284187,fr
AOR,6,https://pokepricelab.com/it/catalog/ancient-origins-ariados-6-eu-284187,284187,it
AOR,60,https://pokepricelab.com/catalog/ancient-origins-goodra-60,,
AOR,60,https://pokepricelab.com/de/catalog/ancient-origins-goodra-60,,de
AOR,60,https://pokepricelab.com/es/catalog/ancient-origins-goodra-60,,es
AOR,60,https://pokepricelab.com/fr/catalog/ancient-origins-goodra-60,,fr
AOR,60,https://pokepricelab.com/it/catalog/ancient-origins-goodra-60,,it
AOR,61,https://pokepricelab.com/catalog/ancient-origins-meowth-61,,
AOR,61,https://pokepricelab.com/de/catalog/ancient-origins-meowth-61,,de
AOR,61,https://pokepricelab.com/es/catalog/ancient-origins-meowth-61,,es
AOR,61,https://pokepricelab.com/fr/catalog/ancient-origins-meowth-61,,fr
AOR,61,https://pokepricelab.com/it/catalog/ancient-origins-meowth-61,,it
AOR,62,https://pokepricelab.com/catalog/ancient-origins-persian-62,,
AOR,62,https://pokepricelab.com/de/catalog/ancient-origins-persian-62,,de
AOR,62,https://pokepricelab.com/es/catalog/ancient-origins-persian-62,,es
AOR,62,https://pokepricelab.com/fr/catalog/ancient-origins-persian-62,,fr
AOR,62,https://pokepricelab.com/it/catalog/ancient-origins-persian-62,,it
AOR,63,https://pokepricelab.com/catalog/ancient-origins-eevee-63,,
AOR,63,https://pokepricelab.com/catalog/ancient-origins-eevee-63-eu-886889,886889,
AOR,63,https://pokepricelab.com/de/catalog/ancient-origins-eevee-63,,de
AOR,63,https://pokepricelab.com/de/catalog/ancient-origins-eevee-63-eu-886889,886889,de
AOR,63,https://pokepricelab.com/es/catalog/ancient-origins-eevee-63,,es
AOR,63,https://pokepricelab.com/es/catalog/ancient-origins-eevee-63-eu-886889,886889,es
AOR,63,https://pokepricelab.com/fr/catalog/ancient-origins-eevee-63,,fr
AOR,63,https://pokepricelab.com/fr/catalog/ancient-origins-eevee-63-eu-886889,886889,fr
AOR,63,https://pokepricelab.com/it/catalog/ancient-origins-eevee-63,,it
AOR,63,https://pokepricelab.com/it/catalog/ancient-origins-eevee-63-eu-886889,886889,it
AOR,64,https://pokepricelab.com/catalog/ancient-origins-porygon-64,,
AOR,64,https://pokepricelab.com/de/catalog/ancient-origins-porygon-64,,de
AOR,64,https://pokepricelab.com/es/catalog/ancient-origins-porygon-64,,es
AOR,64,https://pokepricelab.com/fr/catalog/ancient-origins-porygon-64,,fr
AOR,64,https://pokepricelab.com/it/catalog/ancient-origins-porygon-64,,it
AOR,65,https://pokepricelab.com/catalog/ancient-origins-porygon2-65,,
AOR,65,https://pokepricelab.com/de/catalog/ancient-origins-porygon2-65,,de
AOR,65,https://pokepricelab.com/es/catalog/ancient-origins-porygon2-65,,es
AOR,65,https://pokepricelab.com/fr/catalog/ancient-origins-porygon2-65,,fr
AOR,65,https://pokepricelab.com/it/catalog/ancient-origins-porygon2-65,,it
AOR,66,https://pokepricelab.com/catalog/ancient-origins-porygon-z-66,,
AOR,66,https://pokepricelab.com/de/catalog/ancient-origins-porygon-z-66,,de
AOR,66,https://pokepricelab.com/es/catalog/ancient-origins-porygon-z-66,,es
AOR,66,https://pokepricelab.com/fr/catalog/ancient-origins-porygon-z-66,,fr
AOR,66,https://pokepricelab.com/it/catalog/ancient-origins-porygon-z-66,,it
AOR,67,https://pokepricelab.com/catalog/ancient-origins-porygon-z-67,,
AOR,67,https://pokepricelab.com/de/catalog/ancient-origins-porygon-z-67,,de
AOR,67,https://pokepricelab.com/es/catalog/ancient-origins-porygon-z-67,,es
AOR,67,https://pokepricelab.com/fr/catalog/ancient-origins-porygon-z-67,,fr
AOR,67,https://pokepricelab.com/it/catalog/ancient-origins-porygon-z-67,,it
AOR,68,https://pokepricelab.com/catalog/ancient-origins-lugia-ex-68,,
AOR,68,https://pokepricelab.com/de/catalog/ancient-origins-lugia-ex-68,,de
AOR,68,https://pokepricelab.com/es/catalog/ancient-origins-lugia-ex-68,,es
AOR,68,https://pokepricelab.com/fr/catalog/ancient-origins-lugia-ex-68,,fr
AOR,68,https://pokepricelab.com/it/catalog/ancient-origins-lugia-ex-68,,it
AOR,69,https://pokepricelab.com/catalog/ancient-origins-ace-trainer-69-eu-284250,284250,
