tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec,
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Lillie's Pearl;JTG 151;2;2;1;2,"['0;21;4', '76;JTG;;151;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_151_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Iron Crown ex;TEF 81;1;1;1;1,"['0;21;4', '76;TEF;;81;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_081_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Judge;POR 76;1;1;1;1,"['0;21;4', '76;POR;;76;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_076_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Dreepy;TWM 128;84;4;21;4,"['0;21;100', '0;TWM;;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Drakloak;TWM 129;84;4;21;4,"['0;21;100', '0;TWM;;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Dragapult ex;TWM 130;42;2;21;2,"['0;21;100', '0;TWM;;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Torchic;DRI 40;42;2;21;2,"['0;21;100', '0;DRI;;40;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_040_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Combusken;DRI 41;19;1;19;1,"['0;21;90', '48;DRI;;41;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_041_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Blaziken ex;JTG 24;42;2;21;2,"['0;21;100', '0;JTG;;24;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_024_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Dragapult Blaziken;Budew;ASC 16;25;2;21;1,"['19;21;100', '0;ASC;;16;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png;No']"
