deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Future Box;BESTEHEND;AUFSTEIGEND;97;96;1;12;20;8;0,04;0,04;0,0;29,73;50,0;20,27
Charizard Dragapult;BESTEHEND;ABSTEIGEND;91;97;-6;13;20;7;0,04;0,04;0,0;53,13;48,61;-4,52
Flygon;BESTEHEND;AUFSTEIGEND;130;98;32;4;20;16;0,01;0,04;0,03;25,0;45,92;20,92
Okidogi;BESTEHEND;ABSTEIGEND;90;99;-9;14;20;6;0,05;0,04;-0,01;32,65;43,02;10,37
Mega Sharpedo;NEU;AUFSTEIGEND;-;100;0;0;20;20;0;0,04;0,04;0;31,71;31,71
Rocket's Nidoking;BESTEHEND;AUFSTEIGEND;148;101;47;1;20;19;0,0;0,04;0,04;0,0;29,87;29,87
Gholdengo Dudunsparce;BESTEHEND;ABSTEIGEND;87;102;-15;15;18;3;0,05;0,04;-0,01;43,28;40,68;-2,6
Blaziken Zoroark;BESTEHEND;AUFSTEIGEND;106;103;3;8;18;10;0,03;0,04;0,01;50,0;37,93;-12,07
Scovillain;BESTEHEND;AUFSTEIGEND;126;104;22;4;18;14;0,01;0,04;0,03;50,0;30,51;-19,49
Miraidon Eelektrik;BESTEHEND;ABSTEIGEND;67;105;-38;35;17;-18;0,12;0,04;-0,08;41,67;47,95;6,28
Gouging Fire;BESTEHEND;ABSTEIGEND;85;106;-21;16;16;0;0,06;0,04;-0,02;47,44;49,38;1,94
Espathra Xatu;BESTEHEND;STABIL;107;107;0;8;15;7;0,03;0,03;0,0;41,03;48,33;7,3
